22212   N(1535)^{+}              N(1535)^{-}
12112   N(1440)^{0}              N(1440)^{0}
12116   N(1680)^{0}              N(1680)^{0}
12212   N(1440)^{+}              N(1440)^{-}
12216   N(1680)^{+}              N(1680)^{-}
31214   N(1720)^{0}              N(1720)^{0}
32112   N(1650)^{0}              N(1650)^{0}
32124   N(1720)^{+}              N(1720)^{-}
32212   N(1650)^{+}              N(1650)^{-}
42112   N(1710)^{0}              N(1710)^{0}
42212   N(1710)^{+}              N(1710)^{-}
2212    p                        \overline{p}
2112    n                        \overline{n}
3112    \Sigma^{-}               \Sigma^{+}
3114    \Sigma^{*-}              \Sigma^{*+}
3116    \Sigma(1775)^{-}         \Sigma(1775)^{+}
3212    \Sigma^{0}               \Sigma^{0}
3214    \Sigma^{*0}              \Sigma^{*0}
3216    \Sigma(1775)^{0}         \Sigma(1775)^{0}
3222    \Sigma^{+}               \Sigma^{-}
3224    \Sigma^{*+}              \Sigma^{*-}
3226    \Sigma(1775)^{+}         \Sigma(1775)^{-}
13112   \Sigma(1660)^{-}         \Sigma(1660)^{+}
13114   \Sigma(1670)^{-}         \Sigma(1670)^{+}
13116   \Sigma(1915)^{-}         \Sigma(1915)^{+}
13212   \Sigma(1660)^{0}         \Sigma(1660)^{0}
13214   \Sigma(1670)^{0}         \Sigma(1670)^{0}
13216   \Sigma(1915)^{0}         \Sigma(1915)^{0}
13222   \Sigma(1660)^{+}         \Sigma(1660)^{-}
13224   \Sigma(1670)^{+}         \Sigma(1670)^{-}
13226   \Sigma(1915)^{+}         \Sigma(1915)^{-}
23112   \Sigma(1750)^{-}         \Sigma(1750)^{+}
23114   \Sigma(1940)^{-}         \Sigma(1940)^{+}
23212   \Sigma(1750)^{0}         \Sigma(1750)^{0}
23214   \Sigma(1940)^{0}         \Sigma(1940)^{0}
23222   \Sigma(1750)^{+}         \Sigma(1750)^{-}
23224   \Sigma(1940)^{+}         \Sigma(1940)^{-}
4112    \Sigma_{c}^{0}           \Sigma_{c}^{0}
4114    \Sigma_{c}^{*0}          \Sigma_{c}^{*0}
4212    \Sigma_{c}^{+}           \Sigma_{c}^{-}
4214    \Sigma_{c}^{*+}          \Sigma_{c}^{*-}
4222    \Sigma_{c}^{++}          \Sigma_{c}^{--}
4224    \Sigma_{c}^{*++}         \Sigma_{c}^{*--}
5112    \Sigma_{\bquark}^{-}     \Sigma_{\bquark}^{+}
5114    \Sigma_{\bquark}^{*-}    \Sigma_{\bquark}^{*+}
5212    \Sigma_{\bquark}^{0}     \Sigma_{\bquark}^{0}
5214    \Sigma_{\bquark}^{*0}    \Sigma_{\bquark}^{*0}
5222    \Sigma_{\bquark}^{+}     \Sigma_{\bquark}^{-}
5224    \Sigma_{\bquark}^{*+}    \Sigma_{\bquark}^{*-}
3122    \Lz                      \Lbar
3124    \Lz(1520)^{0}            \Lbar(1520)^{0}
3126    \Lz(1820)^{0}            \Lbar(1820)^{0}
3128    \Lz(2100)^{0}            \Lbar(2100)^{0}
23122   \Lz(1600)^{0}            \Lbar(1600)^{0}
23124   \Lz(1890)^{0}            \Lbar(1890)^{0}
23126   \Lz(2110)^{0}            \Lbar(2110)^{0}
33122   \Lz(1670)^{0}            \Lbar(1670)^{0}
13122   \Lz(1404)^{0}            \Lbar(1404)^{0}
13124   \Lz(1690)^{0}            \Lbar(1690)^{0}
13126   \Lz(1830)^{0}            \Lbar(1830)^{0}
43122   \Lz(1800)^{0}            \Lbar(1800)^{0}
53122   \Lz(1810)^{0}            \Lbar(1810)^{0}
4122    \Lz^{+}_{\cquark}        \Lbar^{-}_{\cquark}
14122   \Lz_{\cquark}(2593)^{+}  \Lbar_{\cquark}(2593)^{-}
5122    \Lb                      \Lbbar
3312    \Xi^{-}                  \Xi^{+}
3314    \Xi^{*-}                 \Xi^{*+}
3322    \Xi^{0}                  \Xi^{0}
3324    \Xi^{*0}                 \Xi^{*0}
4132    \Xi_{c}^{0}              \Xi_{c}^{0}
4232    \Xi_{c}^{+}              \Xi_{c}^{-}
4312    \Xi_{c0}^{\prime}        \Xi_{c}^{\prime}
4314    \Xi_{c}^{*0}             \Xi_{c}^{*0}
4322    \Xi_{c}^{\prime+}        \Xi_{c}^{\prime-}
4324    \Xi_{c}^{*+}             \Xi_{c}^{*-}
4412    \Xi_{cc}^{+}             \Xi_{cc}^{-}
4422    \Xi_{cc}^{++}            \Xi_{cc}^{--}
5132    \Xi_{\mathrm{b}}^{-}     \Xi_{\mathrm{b}}^{+}
5232    \Xi_{\mathrm{b}}^{0}     \Xi_{\mathrm{b}}^{0}
3334    \Omega^{-}               \Omega^{+}
4332    \Omega_{c}^{0}           \Omega_{c}^{0}
4334    \Omega_{c}^{*0}          \Omega_{c}^{*0}
5334    \Omega_{b}^{-}           \Omega_{b}^{+}
9981    0^{+}                    0^{+}
9983    1^{+}                    1^{+}
9985    2^{+}                    2^{+}
9986    2^{-}                    2^{-}
9991    0^{-}                    0^{-}
9993    1^{-}                    1^{-}
10411   D_{0}^{*}(2400)^{+}      D_{0}^{*}(2400)^{-}
10413   D_{1}(2420)^{+}          D_{1}(2420)^{-}
10421   D_{0}^{*}(2400)^{0}      D_{0}^{*}(2400)^{0}
10423   D_{1}(2420)^{0}          D_{1}(2420)^{0}
10431   D_{s0}^{*+}              D_{s0}^{*-}
10433   D_{s1}(2536)^{+}         D_{s1}(2536)^{-}
10441   \chi_{c0}(1P)            \chi_{c0}(1P)
10443   h_{c}(1P)                h_{c}(1P)
10551   \chi_{\mathrm{b}0}(1P)   \chi_{\mathrm{b}0}(1P)
20423   D_{1}(2430)^{0}          D_{1}(2430)^{0}
20433   D_{s1}(H)^{+}            D_{s1}(H)^{-}
20443   \chi_{c1}(1P)            \chi_{c1}(1P)
20553   \chi_{\mathrm{b}1}(1P)   \chi_{\mathrm{b}1}(1P)
30443   \psi(3770)               \psi(3770)
100333  \phi(1680)               \phi(1680)
100443  \psi(2S)                 \psi(2S)
100445  \chi_{c2}(2P)            \chi_{c2}(2P)
100553  \Upsilon(2S)             \Upsilon(2S)
100555  \chi_{\mathrm{b}2}(2P)   \chi_{\mathrm{b}2}(2P)
110551  \chi_{\mathrm{b}0}(2P)   \chi_{\mathrm{b}0}(2P)
120553  \chi_{\mathrm{b}1}(2P)   \chi_{\mathrm{b}1}(2P)
200553  \Upsilon(3S)             \Upsilon(3S)
300553  \Upsilon(4S)             \Upsilon(4S)
9930443 X(3872)                  X(3872) 
998100  \left[\pip\pim\right]^{L=0} \left[\pip\pim\right]^{L=0}
998101  \left[\pip\pim\right]^{L=0} \left[\pip\pim\right]^{L=0}
998102  \left[\pip\pim\right]^{L=0} \left[\pip\pim\right]^{L=0}
998103  \left[\pip\pim\right]^{L=0} \left[\pip\pim\right]^{L=0}
998104  \left[\pip\pim\right]^{L=0} \left[\pip\pim\right]^{L=0}
998105  \left[\pip\pim\right]^{L=0} \left[\pip\pim\right]^{L=0}
998106  \left[\pip\pim\right]^{L=0} \left[\pip\pim\right]^{L=0}
998110  \left[\Kp\pim\right]^{L=0} \left[\Km\pip\right]^{L=0}
998111  \left[\Kp\pim\right]^{L=0} \left[\Km\pip\right]^{L=0}
998112  \left[\Kp\pim\right]^{L=0} \left[\Km\pip\right]^{L=0}
998113  \left[\Kp\pim\right]^{L=0} \left[\Km\pip\right]^{L=0}
998114  \left[\Kp\pim\right]^{L=0} \left[\Km\pip\right]^{L=0}
998115  \left[\Kp\pim\right]^{L=0} \left[\Km\pip\right]^{L=0}
998116  \left[\Kp\pim\right]^{L=0} \left[\Km\pip\right]^{L=0}
